
=== MEMORY LOOP - FRAMEWORK BACKEND CLI ===
(i) Audit statique AST de tous les modules sous src/...
--- AUDIT AST : src/core/hypergraph_engine.py ---
Statut : [FAIL] VIOLATIONS | 387 lignes | 15464 octets | 10.13 ms
Violations relev├®es :
  * [RULE-AST-01] (L387) : Plafond modulaire d├®pass├® : 387 lignes (seuil strict = 300).
    ÔööÔöÇÔöÇ Action : D├®couper le module en composants sp├®cialis├®s (ADR-0202).
  * [RULE-AST-01] (L387) : Taille de fichier excessive : 15464 octets (seuil strict = 15360 octets / 15 Ko).
    ÔööÔöÇÔöÇ Action : All├®ger le contenu et extraire les fonctions secondaires.
--- AUDIT AST : src/core/lifecycle.py ---
Statut : [FAIL] VIOLATIONS | 852 lignes | 39500 octets | 5.14 ms
Violations relev├®es :
  * [RULE-AST-01] (L852) : Plafond modulaire d├®pass├® : 852 lignes (seuil strict = 300).
    ÔööÔöÇÔöÇ Action : D├®couper le module en composants sp├®cialis├®s (ADR-0202).
  * [RULE-AST-01] (L852) : Taille de fichier excessive : 39500 octets (seuil strict = 15360 octets / 15 Ko).
    ÔööÔöÇÔöÇ Action : All├®ger le contenu et extraire les fonctions secondaires.
--- AUDIT AST : src/core/llm_client.py ---
Statut : [FAIL] VIOLATIONS | 380 lignes | 14959 octets | 2.56 ms
Violations relev├®es :
  * [RULE-AST-01] (L380) : Plafond modulaire d├®pass├® : 380 lignes (seuil strict = 300).
    ÔööÔöÇÔöÇ Action : D├®couper le module en composants sp├®cialis├®s (ADR-0202).
--- AUDIT AST : src/core/standards_graph.py ---
Statut : [FAIL] VIOLATIONS | 738 lignes | 30351 octets | 4.90 ms
Violations relev├®es :
  * [RULE-AST-01] (L738) : Plafond modulaire d├®pass├® : 738 lignes (seuil strict = 300).
    ÔööÔöÇÔöÇ Action : D├®couper le module en composants sp├®cialis├®s (ADR-0202).
  * [RULE-AST-01] (L738) : Taille de fichier excessive : 30351 octets (seuil strict = 15360 octets / 15 Ko).
    ÔööÔöÇÔöÇ Action : All├®ger le contenu et extraire les fonctions secondaires.
--- AUDIT AST : src/dashboard/server.py ---
Statut : [FAIL] VIOLATIONS | 1634 lignes | 67489 octets | 13.79 ms
Violations relev├®es :
  * [RULE-AST-01] (L1634) : Plafond modulaire d├®pass├® : 1634 lignes (seuil strict = 300).
    ÔööÔöÇÔöÇ Action : D├®couper le module en composants sp├®cialis├®s (ADR-0202).
  * [RULE-AST-01] (L1634) : Taille de fichier excessive : 67489 octets (seuil strict = 15360 octets / 15 Ko).
    ÔööÔöÇÔöÇ Action : All├®ger le contenu et extraire les fonctions secondaires.
--- AUDIT AST : src/dashboard/routers/archify.py ---
Statut : [FAIL] VIOLATIONS | 463 lignes | 17146 octets | 2.82 ms
Violations relev├®es :
  * [RULE-AST-01] (L463) : Plafond modulaire d├®pass├® : 463 lignes (seuil strict = 300).
    ÔööÔöÇÔöÇ Action : D├®couper le module en composants sp├®cialis├®s (ADR-0202).
  * [RULE-AST-01] (L463) : Taille de fichier excessive : 17146 octets (seuil strict = 15360 octets / 15 Ko).
    ÔööÔöÇÔöÇ Action : All├®ger le contenu et extraire les fonctions secondaires.
--- AUDIT AST : src/engine/fact_check/domain_invariants.py ---
Statut : [FAIL] VIOLATIONS | 710 lignes | 30646 octets | 4.52 ms
Violations relev├®es :
